lat,long,country,city,street,time zone
37.9360433,125.3575974,North Korea,Ongjin,68253 Mesta Drive,Asia/Pyongyang
-7.7580914,113.563922,Indonesia,Pasembon,34 Kensington Hill,Asia/Jakarta
56.7279731,41.0643386,Russia,Novyye Gorki,78 Kropf Pass,Europe/Moscow
50.1191335,14.0734646,Czech Republic,VelkÃ¡ DobrÃ¡,9 Eagan Plaza,Europe/Prague
52.6130327,38.9743917,Russia,Donskoye,2313 Stuart Street,Europe/Moscow
43.5251666,-5.6379087,Spain,Gijon,64 Emmet Trail,Europe/Madrid
59.3433282,18.0638221,Sweden,Stockholm,905 Thierer Road,Europe/Stockholm
52.2590681,104.2366111,Russia,Afanasâ€™yeva,9 Dahle Way,Asia/Irkutsk
14.5508865,121.0075554,Philippines,San Antonio,41966 Upham Trail,Asia/Manila
16.0001974,120.6583327,Philippines,Domampot,764 Macpherson Terrace,Asia/Manila
27.127669,113.961465,China,Lianhua,65 Corben Drive,Asia/Shanghai
50.1544063,15.4602634,Czech Republic,Chlumec nad Cidlinou,85 Glacier Hill Terrace,Europe/Prague
43.9887651,18.1798837,Bosnia and Herzegovina,Visoko,7 Bartillon Crossing,Europe/Sarajevo
-34.5484605,-58.5717015,Argentina,Reconquista,5 Derek Park,America/Argentina/Cordoba
11.536819,122.489398,Philippines,Odiong,4863 Dayton Junction,Asia/Manila
69.4086014,30.2266634,Russia,Nikelâ€™,7 Birchwood Avenue,Europe/Moscow
30.7959602,120.6060568,China,Bazi,511 Hooker Way,Asia/Shanghai
26.394403,111.314117,China,Dongâ€™an,9503 Caliangt Junction,Asia/Chongqing
40.9192881,-8.4188235,Portugal,Baganha,0 Kropf Junction,Europe/Lisbon
15.4566044,-91.8808763,Guatemala,Cuilco,479 Bluejay Avenue,America/Mexico_City
30.79438,115.087221,China,Jiamiao,41 Harbort Center,Asia/Shanghai
33.6450129,133.4789243,Japan,KÅçchi-shi,30 Morningstar Road,Asia/Tokyo
-8.3635208,123.0085415,Indonesia,Wailebe,4742 Kings Circle,Asia/Makassar
51.9886098,81.8433417,Russia,Pospelikha,030 Dawn Street,Asia/Omsk
25.387672,100.646607,China,Jiaoqi,18190 Kings Street,Asia/Chongqing
10.148976,-73.960233,Colombia,El Copey,8 Maple Wood Parkway,America/Bogota
22.948016,113.366904,China,Shiqiao,8544 Forest Road,Asia/Urumqi
6.76667,2.16667,Benin,Hinvi,4563 Mcbride Circle,Africa/Porto-Novo
32.4322509,74.5809328,Pakistan,PasrÅ«r,33 Bellgrove Alley,Asia/Karachi
-6.9028171,106.3483779,Indonesia,Cihideung Satu,60 Hagan Way,Asia/Jakarta
11.0328111,106.3645677,Vietnam,Tráº£ng BÃ ng,7987 Merchant Parkway,Asia/Ho_Chi_Minh
47.573689,34.8688115,Ukraine,Vyshchetarasivka,0 Marcy Place,Europe/Zaporozhye
37.0514525,25.4982396,Greece,FilÃ_tion,420 8th Junction,Europe/Athens
-34.7942024,-58.2622254,Argentina,Clorinda,0 Northridge Pass,America/Asuncion
27.578926,110.040315,China,Hecheng,6 Dorton Park,Asia/Chongqing
53.7636896,18.1983893,Poland,Osieczna,59076 Dottie Center,Europe/Warsaw
44.1799774,18.9418196,Bosnia and Herzegovina,Vlasenica,04311 Monument Drive,Europe/Sarajevo
40.7485192,-7.8032048,Portugal,CepÃµes,41 Shasta Parkway,Europe/Lisbon
37.27,-79.94,United States,Roanoke,7 Swallow Junction,America/New_York
25.5204824,55.7133909,United Arab Emirates,Umm al Qaywayn,9 Golf Avenue,Asia/Dubai
20.8965838,-105.4093552,Mexico,San Francisco,99287 Monterey Point,America/Mexico_City
40.8106238,69.2341133,Uzbekistan,BÅ_ka,6938 Packers Alley,Asia/Tashkent
28.314706,117.343545,China,Guifeng,0 Stuart Trail,Asia/Shanghai
9.9296843,123.9327724,Philippines,Panaytayon,6 Graedel Trail,Asia/Manila
45.7782243,4.7987938,France,Lyon,2 Kings Drive,Europe/Paris
41.191548,19.626265,Albania,Helmas,6314 Coolidge Avenue,Europe/Tirane
34.34013,63.75288,Afghanistan,Chisht-e SharÄ«f,628 Karstens Hill,Asia/Kabul
-14.9876054,34.9561748,Malawi,Balaka,29970 Sommers Trail,Africa/Blantyre
28.6019464,-106.0244614,Peru,Chignayhua,47142 Westend Pass,America/Lima
47.594843,1.3155028,France,Blois,5429 Lyons Trail,Europe/Paris
30.20003,115.038835,China,Huangshi,8161 Butternut Point,Asia/Shanghai
30.63166,114.040353,China,Zouma,36 Oneill Crossing,Asia/Chongqing
-25.304882,-49.0555691,Brazil,Campina Grande do Sul,4 Del Sol Road,America/Sao_Paulo
40.8913038,20.6779776,Albania,BuÃ§imas,414 Harper Trail,Europe/Skopje
-6.956164,106.7714,Indonesia,Cimanggu,23 Muir Park,Asia/Jakarta
34.0599302,-118.249786,United States,Los Angeles,199 Swallow Hill,America/Los_Angeles
-6.6658733,106.8635643,Indonesia,Bendungan,0 Gerald Junction,Asia/Jakarta
49.76647,-119.73568,Canada,Peachland,4294 Schlimgen Terrace,America/Vancouver
34.0556839,73.1511314,Pakistan,HaveliÄÅn,332 Union Circle,Asia/Karachi
7.0513571,14.4344853,Cameroon,BÃ©lel,03754 Cottonwood Center,Africa/Douala
19.2312719,-101.4591146,Mexico,Los Pinos,29 Fairfield Plaza,America/Mexico_City
-8.7867,121.1256,Indonesia,Hobonio,44091 Pepper Wood Point,Asia/Makassar
46.844779,125.374569,China,Taipingzhuang,19168 Mitchell Junction,Asia/Harbin
-8.8479584,121.6468481,Indonesia,Mbongawani,4 Gerald Junction,Asia/Makassar
5.7525387,-75.4810786,Colombia,Abejorral,8464 Thompson Avenue,America/Bogota
-16.67787,46.109699,Madagascar,Sitampiky,20852 Gateway Crossing,Indian/Antananarivo
-6.05,-77.583333,Peru,Granada,22533 Tennyson Place,America/Lima
-13.9448918,-74.3132878,Peru,Sacsamarca,8 Oakridge Junction,America/Lima
4.717029,-74.21225,Colombia,Funza,03819 Beilfuss Avenue,America/Bogota
-7.5861751,110.1908889,Indonesia,Wringinputih,22 Nancy Junction,Asia/Jakarta
21.850061,111.197459,China,Shipaidong,83485 Moose Point,Asia/Chongqing
-34.9044677,-58.5743103,Argentina,Marcos JuÃ¡rez,38 Victoria Terrace,America/Argentina/Cordoba
52.0610443,17.8504238,Poland,GizaÅ‚ki,8953 Sheridan Alley,Europe/Warsaw
-6.9262046,112.1474925,Indonesia,Leran Kulon,451 Vera Road,Asia/Jakarta
-5.9640712,34.1225927,Tanzania,Mgandu,1 Bowman Plaza,Africa/Dar_es_Salaam
31.268047,121.004054,China,Qiandeng,1785 Magdeline Center,Asia/Shanghai
-36.8929232,174.8607024,New Zealand,Tamaki,748 Kim Court,Pacific/Auckland
-8.0026625,111.4559084,Indonesia,Bungkal,8812 Menomonie Junction,Asia/Jakarta
48.43349,-77.63279,Canada,Barraute,7 Cascade Lane,America/Montreal
43.0429124,1.9038837,France,Lyon,052 Dryden Park,Europe/Paris
58.4181236,15.6198852,Sweden,LinkÃ¶ping,3878 Forest Run Terrace,Europe/Stockholm
36.23154,40.77214,Syria,â€˜ArÄ«shah,373 Carberry Terrace,Asia/Damascus
31.654375,120.752481,China,Changshu City,708 Dapin Circle,Asia/Shanghai
-7.3682379,112.7554346,Indonesia,Pabean,3000 Clove Hill,Asia/Jakarta
25.8007724,-100.4277766,Mexico,San Jose,71270 Veith Place,America/Hermosillo
57.630161,25.692493,Latvia,StrenÄçi,89 Petterle Court,Europe/Riga
-0.6256517,100.1233396,Indonesia,Paritaman,10075 Coolidge Avenue,Asia/Jakarta
-23.5198964,-46.3408798,Brazil,PoÃ¡,12032 David Way,America/Sao_Paulo
